# Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],GDP per capita (current US$) [NY.GDP.PCAP.CD]
2020,YR2020,India,IND,1396387127,70.15,67.9,90.48952503,1910.42147282449
2020,YR2020,Mexico,MEX,125998302,70.133,84.9,99.67956828,8655.00068206803
2020,YR2020,Afghanistan,AFG,38972230,62.575,33.2,75.09141325,516.866552182696
2020,YR2020,United Arab Emirates,ARE,9287289,78.946,100,99.965596,37629.1741687956
2020,YR2020,United States,USA,331501080,77.2804878048781,100,99.88352668,63530.633483909
2020,YR2020,Ukraine,UKR,44132049,71.1851219512195,94.9,93.92828195,3751.74072265625
2020,YR2020,Uruguay,URY,3429086,78.43,100,99.49575756,15619.5426555695
2020,YR2020,Singapore,SGP,5685807,83.7439024390244,100,100,60729.4503486794
2020,YR2020,Pakistan,PAK,227196741,66.269,49.3,90.14896508,1322.31503608163
2020,YR2020,El Salvador,SLV,6292731,71.061,91.8,97.94657541,3903.39583878605
2020,YR2020,Philippines,PHL,112190977,72.119,48,94.10903456,3224.42255131214
2020,YR2020,Nigeria,NGA,208327405,52.887,15,77.60905338,2074.61392802438
2020,YR2020,Canada,CAN,38037204,81.7487804878049,100,99.22181066,43258.2638715601
2020,YR2020,France,FRA,67571107,82.1756097560976,100,99.9999985,39055.2829280754
2020,YR2020,Japan,JPN,126261000,84.6156097560976,100,99.07891245,39918.1675583443
2020,YR2020,Morocco,MAR,36688772,73.92,98.1,90.40234468,3258.12133789063
2020,YR2020,Australia,AUS,25655289,83.2,100,99.96981182,51720.3707634401
2020,YR2020,Jordan,JOR,10928721,75.184,99.9,98.94030296,4042.7693498462
2020,YR2020,Sri Lanka,LKA,21919000,76.393,32.2,92.22757937,3893.84151516764
2020,YR2020,Vietnam,VNM,96648685,75.378,65.3,96.88435687,3586.34730171843
# ,,,,,,,,
# ,,,,,,,,
# ,,,,,,,,
# Data from database: World Development Indicators,,,,,,,,
# Last Updated: 03/01/2023,,,,,,,,
